model_name,model,qa_dataset,n_pairs,dim,H,alpha,mu,js_mode,answer_repr,delta_op_space,JS_mean,C_low,C_high,C_ratio,BTI,DataFit,delta_op,delta_op_resid,delta_op_note,jl_constant,JS_pred_low,JS_pred_high,CCS,eta_JL,Nmax_eta_0.2,Nmax_eta_0.15,Nmax_eta_0.1,cos_mean,delta_mean,delta_mean_operator_space
Qwen3-Embedding-4B,../../llm-models/Qwen3-Embedding-4B,trivia_qa,1000,2560,64,10.14477394757245,0.000390625,hyp,window,whiten,0.15581879844843818,0.077052922422563,0.3604850688114485,4.678408780325372,0.7618200967598675,0.337112022304754,1.4110376821331079,0.009933734104140491,subsampled_500;ok_primary_robust_whiten,8.0,0.15341447520101026,0.7177356278094156,0.2585125807156216,0.17592156946115334,36221.74496112488,133.94307643944168,2.4532530197109366,0.5572500671790476,0.9335965470963649,58.76647623871082
Qwen3-Embedding-8B,../../llm-models/Qwen3-Embedding-8B,trivia_qa,1000,4096,64,8.688062549572868,0.000390625,hyp,window,whiten,0.17176674369200542,0.08026877157236548,0.2955726521307562,3.682286975879352,0.8196544171353433,0.37025919718028166,1.4044095468618485,0.009914111620204728,subsampled_500;ok_primary_robust_whiten,8.0,0.15831940998355656,0.5829775014113537,0.18589428326820787,0.13907821226219125,78406305.31366782,10070.99618669522,16.733536962110424,0.49253900538997436,1.002447518455621,60.998102060838086
SFR-Embedding-Mistral,../../llm-models/SFR-Embedding-Mistral,trivia_qa,1000,4096,64,18.258096171175904,0.000390625,hyp,window,whiten,0.4090569411963266,0.39907326985220376,0.9166216798662112,2.2968756594639395,0.9193823672657707,0.5205349990294794,1.4002115498755312,0.009900990365523723,subsampled_500;ok_primary_robust_whiten,8.0,0.7824200136917672,1.7971214849260624,0.4040498290010861,0.13907821226219125,78406305.31366782,10070.99618669522,16.733536962110424,0.669718140634155,0.8080832199444081,62.6825480885968
granite-embedding-30m-english,../../llm-models/granite-embedding-30m-english,trivia_qa,1000,384,64,22.364772321583345,0.000390625,hyp,window,whiten,0.29597325586010836,0.1446241030106273,0.8345590849698932,5.770539402471301,0.709602163894242,0.07736752876651176,4.552139113313455,0.33701453747068494,subsampled_500;ok_primary_robust_whiten,8.0,2.996896397181505,17.293708745060155,0.3178196413492204,0.4542275391744788,0.6820958469290752,0.29446795510655244,0.16160744021928936,0.5497692332627891,0.9454968505892138,26.720968102189442
granite-embedding-small-english-r2,../../llm-models/granite-embedding-small-english-r2,trivia_qa,1000,384,64,36.961582622436886,0.000390625,hyp,window,whiten,0.2478038978039486,0.21255039617665453,1.3744293867382211,6.466369442077669,0.6811625725673616,0.039898408587294876,4.23577030128387,0.33145558237735695,subsampled_500;ok_primary_robust_whiten,8.0,3.813526080217942,24.659668511687535,0.27710840397564307,0.4542275391744788,0.6820958469290752,0.29446795510655244,0.16160744021928936,0.743498117320135,0.7138141028289686,26.74090646814921
text-embedding-3-large,text-embedding-3-large,trivia_qa,1000,3072,64,15.931636840675399,0.000390625,hyp,window,whiten,0.23262946428978118,0.08149900929203463,0.3992812450404643,4.8992159353707425,0.7504106569871792,0.7101071216119729,1.4064052271928653,0.009915178771153839,subsampled_500;ok_primary_robust_whiten,8.0,0.16120305694440162,0.7897685854124896,0.55302988877746,0.16059368657597606,468557.8756673047,565.3329824436017,4.652547443978924,0.4234648330740279,1.0675861692064068,61.47747556790291
text-embedding-3-small,text-embedding-3-small,trivia_qa,1000,1536,64,14.916352257748722,0.000390625,hyp,window,whiten,0.25441048468285377,0.08646968743830652,0.42554899867231727,4.92136621837489,0.7492916896194555,0.5994780114853078,1.433383351336725,0.009970182071152144,subsampled_500;ok_primary_robust_whiten,8.0,0.1776595676380157,0.8743277945448192,0.5173894725401778,0.2271137695872394,216.46197718474824,7.518862829202312,0.6820958469290752,0.34781585295413686,1.1366130217377677,53.53557289721494
