model_name,model,para_dataset,n_pairs,dim,H,alpha,mu,js_mode,AUC_cos,AUC_negJS,JS_mean,C_low,C_high,C_ratio,BTI,DataFit,delta_op,delta_op_resid,delta_op_note,jl_constant,JS_pred_low,JS_pred_high,CCS,eta_JL,Nmax_eta_0.2,Nmax_eta_0.15,Nmax_eta_0.1,cos_mean,delta_mean,delta_mean_operator_space
Qwen3-Embedding-4B,../../llm-models/Qwen3-Embedding-4B,stsb,1000,2560,64,11.615264502325816,0.000390625,hyp,0.917032,0.87342,0.05252682200362042,0.018281093685844206,0.3239405839110437,17.719978327220325,0.4497345443595945,0.679223125827876,1.9605162452056186,0.04683480278040163,ok_primary_robust_whiten,8.0,0.07026564948133478,1.2451057859573125,0.6583614413645663,0.17592156946115334,36221.74496112488,133.94307643944168,2.4532530197109366,0.8102939241257354,0.562661620645526,54.790591085721424
Qwen3-Embedding-8B,../../llm-models/Qwen3-Embedding-8B,stsb,1000,4096,64,12.373782515007917,0.000390625,hyp,0.926784,0.880556,0.05583373062343367,0.018525243779319363,0.36233616228451504,19.559049619039758,0.43023014330552906,0.7638556330921916,1.9598601780643514,0.04626648114794811,ok_primary_robust_whiten,8.0,0.07115642314186614,1.3917520109451487,0.6904936163807142,0.13907821226219125,78406305.31366782,10070.99618669522,16.733536962110424,0.8156551542783396,0.5527121520244744,57.82667417133194
SFR-Embedding-Mistral,../../llm-models/SFR-Embedding-Mistral,stsb,1000,4096,64,15.517885184240509,0.000390625,hyp,0.915132,0.8660559999999999,0.05766318191714019,0.025352897440476356,0.4392940257883033,17.327172439350562,0.4542536004956023,0.7797199171908129,1.9607843126591074,0.04598856921415855,ok_primary_robust_whiten,8.0,0.09747365402883408,1.6889428116512057,0.685701228426849,0.13907821226219125,78406305.31366782,10070.99618669522,16.733536962110424,0.8500594865522307,0.49499105020106304,62.694671483155425
granite-embedding-30m-english,../../llm-models/granite-embedding-30m-english,stsb,1000,384,64,17.723753611886544,0.000390625,hyp,0.8531120000000001,0.8194199999999999,0.060872207468743465,0.05825883182935231,0.5366923449652893,9.212205739677906,0.5944184135495283,0.3203722909598261,3.5064011737228107,0.40313469722743694,ok_primary_robust_whiten,8.0,0.7162835513906521,6.59855144335784,0.6649740679683473,0.4542275391744788,0.6820958469290752,0.29446795510655244,0.16160744021928936,0.8798792372797625,0.4525595384590988,17.73196291061495
granite-embedding-small-english-r2,../../llm-models/granite-embedding-small-english-r2,stsb,1000,384,64,30.5856967463578,0.000390625,hyp,0.85274,0.805392,0.06386030166075456,0.09359165751305404,0.8616030055209695,9.2059808364949,0.5945799777106927,0.35086841892177834,2.971108613041715,0.4055953250491733,ok_primary_robust_whiten,8.0,0.8261790829599477,7.605788805242209,0.6554644708258383,0.4542275391744788,0.6820958469290752,0.29446795510655244,0.16160744021928936,0.9226730402120488,0.3670198210615084,18.51666091419583
text-embedding-3-large,text-embedding-3-large,stsb,1000,3072,64,14.509130648196807,0.000390625,hyp,0.8912999999999999,0.826288,0.07814425029540917,0.0033431493437281147,0.33550718847525757,100.35662603726718,0.1976746035073903,0.4660359869438009,1.9603132986457177,0.04626552508974771,ok_primary_robust_whiten,8.0,0.012847148671330574,1.289296494853896,0.7544810921001356,0.16059368657597606,468557.8756673047,565.3329824436017,4.652547443978924,0.7200046079782045,0.6997772683088201,59.86552783994259
text-embedding-3-small,text-embedding-3-small,stsb,1000,1536,64,13.38554737928036,0.000390625,hyp,0.8895120000000001,0.823592,0.08423809129127824,0.006441093094975435,0.3745576464815994,58.15125491258373,0.2578372013530502,0.4450182665800224,1.9608151275143328,0.04645914529365641,ok_primary_robust_whiten,8.0,0.024764688737171615,1.4400977275860578,0.7678241953805293,0.2271137695872394,216.46197718474824,7.518862829202312,0.6820958469290752,0.7292911457867501,0.6862970947649185,48.55074877856476
